Date,Nice
                    Dimanche 9,0.0
                    Lundi 10,0.0
                    Mardi 11,0.0
                    Mercredi 12,0.0
                    Jeudi 13,0.0
                    Vendredi 14,0.0
                    Samedi 15,0.0
                    Dimanche 16,0.0
                    Lundi 17,0.0
                    Mardi 18,0.0
                    Mercredi 19,0.0
                    Jeudi 20,0.0
                    Vendredi 21,0.0
                    Samedi 22,0.0
                    Dimanche 23,0.0
                    Lundi 24,0.0
                    Mardi 25,0.0
                    Mercredi 26,0.0
                    Jeudi 27,0.0
                    Vendredi 28,0.0
                    Samedi 29,3.6
                    Dimanche 30,0.0
                    Lundi 31,0.2
                    Mardi 1,0.0
                    Mercredi 2,0.0
                    Jeudi 3,0.0
                    Vendredi 4,0.0
                    Samedi 5,0.0
                    Dimanche 6,0.0
                    Lundi 7,0.0
                    Mardi 8,0.0
                    Mercredi 9,0.2
                    Jeudi 10,0.0
                    Vendredi 11,2.0
                    Samedi 12,0.0
                    Dimanche 13,0.0
                    Lundi 14,0.0
                    Mardi 15,0.0
                    Mercredi 16,0.0
                    Jeudi 17,0.0
                    Vendredi 18,0.0
                    Samedi 19,19.9
                    Dimanche 20,27.9
                    Lundi 21,0.0
                    Mardi 22,6.4
                    Mercredi 23,0.0
                    Jeudi 24,22.5
                    Vendredi 25,0.0
                    Samedi 26,0.0
                    Dimanche 27,0.0
                    Lundi 28,0.0
                    Mardi 29,0.0
                    Mercredi 30,0.0
                    Jeudi 1,8.1
                    Vendredi 2,38.8
                    Samedi 3,0.0
                    Dimanche 4,16.7
                    Lundi 5,0.0
                    Mardi 6,0.0
                    Mercredi 7,0.0
                    Jeudi 8,0.0
                    Vendredi 9,0.0
                    Samedi 10,28.2
                    Dimanche 11,13.7
                    Lundi 12,0.0
                    Mardi 13,0.0
                    Mercredi 14,10.9
                    Jeudi 15,0.0
                    Vendredi 16,0.0
                    Samedi 17,0.0
                    Dimanche 18,0.0
                    Lundi 19,0.0
                    Mardi 20,0.0
                    Mercredi 21,0.0
                    Jeudi 22,0.2
                    Vendredi 23,3.8
                    Samedi 24,0.0
                    Dimanche 25,4.4
                    Lundi 26,3.6
                    Mardi 27,0.0
                    Mercredi 28,0.0
                    Jeudi 29,0.0
                    Vendredi 30,0.0
                    Samedi 31,0.0
                    Dimanche 1,0.0
                    Lundi 2,0.0
                    Mardi 3,0.0
                    Mercredi 4,0.0
                    Jeudi 5,0.0
                    Vendredi 6,0.0
                    Samedi 7,0.0
                    Dimanche 8,1.4
                    Lundi 9,0.0
                    Mardi 10,0.0
                    Mercredi 11,0.0
                    Jeudi 12,0.0
                    Vendredi 13,0.8
                    Samedi 14,0.0
                    Dimanche 15,0.2
                    Lundi 16,0.0
                    Mardi 17,0.0
                    Mercredi 18,0.0
                    Jeudi 19,0.0
                    Vendredi 20,0.0
                    Samedi 21,0.0
                    Dimanche 22,0.0
                    Lundi 23,0.0
                    Mardi 24,0.0
                    Mercredi 25,0.0
                    Jeudi 26,0.0
                    Vendredi 27,0.0
                    Samedi 28,0.0
                    Dimanche 29,0.0
                    Lundi 30,0.0
                    Mardi 1,0.6
                    Mercredi 2,0.0
                    Jeudi 3,4.0
                    Vendredi 4,25.0
                    Samedi 5,9.5
                    Dimanche 6,0.0
                    Lundi 7,0.0
                    Mardi 8,0.4
                    Mercredi 9,0.0
                    Jeudi 10,0.0
                    Vendredi 11,2.2
                    Samedi 12,0.4
                    Dimanche 13,0.0
                    Lundi 14,1.0
                    Mardi 15,2.4
                    Mercredi 16,0.2
                    Jeudi 17,0.0
                    Vendredi 18,0.2
                    Samedi 19,30.6
                    Dimanche 20,26.8
                    Lundi 21,0.0
                    Mardi 22,0.0
                    Mercredi 23,0.6
                    Jeudi 24,0.0
                    Vendredi 25,11.9
                    Samedi 26,0.0
                    Dimanche 27,22.4
                    Lundi 28,0.0
                    Mardi 29,0.0
                    Mercredi 30,0.0
                    Jeudi 31,11.2
